"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.367412140575,0.355104629042,0.00274801254272,0.00047492980957,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.405142248593,0.388078630311,0.00256013870239,0.000550985336304,4,[[ 249 1763  179]  [  77 1788  326]  [  24 1541  626]],[[ 43 443  53]  [ 21 421  77]  [  2 369 148]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.406663623916,0.394419784401,0.00439190864563,0.000602960586548,11,[[ 251 1754  186]  [  77 1792  322]  [  25 1536  630]],[[ 42 440  57]  [ 21 427  71]  [  2 364 153]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.437699680511,0.425491439442,0.00925898551941,0.000898122787476,27,[[1651  362  178]  [1287  592  312]  [1097  460  634]],[[374 108  57]  [302 145  72]  [250 117 152]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.473452000609,0.43310082435,0.0260291099548,0.00217580795288,63,[[1439  446  306]  [ 952  787  452]  [ 830  475  886]],[[294 130 115]  [231 169 119]  [190 109 220]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.735584968812,0.430564362714,0.12314081192,0.00535583496094,146,[[1742  306  143]  [ 430 1629  132]  [ 348  379 1464]],[[230 184 125]  [186 239  94]  [132 177 210]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.96668188042,0.42675967026,0.427254915237,0.0104100704193,336,[[2159   29    3]  [  84 2102    5]  [  54   44 2093]],[[233 164 142]  [177 202 140]  [127 154 238]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.992240985851,0.413443246671,1.1174030304,0.0218050479889,774,[[2189    1    1]  [  27 2163    1]  [  12    9 2170]],[[217 190 132]  [160 218 141]  [153 149 217]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999239312338,0.405833861763,2.91799402237,0.0453090667725,1779,[[2191    0    0]  [   3 2188    0]  [   2    0 2189]],[[219 177 143]  [157 218 144]  [142 174 203]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999391449871,0.407102092581,7.78185105324,0.100230932236,4087,[[2191    0    0]  [   3 2188    0]  [   1    0 2190]],[[221 184 134]  [159 202 158]  [140 160 219]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999695724935,0.412175015853,20.6685979366,0.294322013855,9389,[[2191    0    0]  [   1 2190    0]  [   1    0 2190]],[[229 163 147]  [170 196 153]  [137 157 225]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999695724935,0.438807863031,48.7181859016,1.4887471199,21568,[[2191    0    0]  [   1 2190    0]  [   1    0 2190]],[[219 177 143]  [144 236 139]  [115 167 237]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.367412140575,0.355104629042,0.429648160934,0.0428829193115,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.401947360414,0.400760938491,0.494878053665,0.0477519035339,4,[[2012    0  179]  [1861    0  330]  [1561    0  630]],[[483   0  56]  [442   0  77]  [370   0 149]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.403468735737,0.4013950539,0.502894163132,0.0514640808105,11,[[1990    0  201]  [1832    0  359]  [1529    0  662]],[[474   0  65]  [440   0  79]  [360   0 159]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.41609615092,0.40773620799,0.541009902954,0.0482969284058,27,[[1640    0  551]  [1286    0  905]  [1096    0 1095]],[[373   0 166]  [302   0 217]  [249   0 270]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.404533698463,0.400760938491,0.631597042084,0.0568859577179,63,[[1987    0  204]  [1821    0  370]  [1519    0  672]],[[471   0  68]  [442   0  77]  [358   0 161]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.449109995436,0.436271401395,0.803464889526,0.0672829151154,146,[[1667    0  524]  [1389    0  802]  [ 906    0 1285]],[[392   0 147]  [326   0 193]  [223   0 296]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.455956184391,0.445149017121,1.27032804489,0.0751738548279,336,[[1770    0  421]  [1510    0  681]  [ 964    0 1227]],[[430   0 109]  [349   0 170]  [247   0 272]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.464171611136,0.461636017755,2.41092014313,0.101857185364,774,[[1755    0  436]  [1445    1  745]  [ 896    0 1295]],[[426   0 113]  [328   0 191]  [217   0 302]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.4748212384,0.467343056436,4.85786008835,0.165496826172,1779,[[1861    0  330]  [1513    0  678]  [ 931    0 1260]],[[444   0  95]  [357   0 162]  [226   0 293]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.489578579035,0.45846544071,11.2418000698,0.302500963211,4087,[[1944    1  246]  [1590    1  600]  [ 918    0 1273]],[[453   0  86]  [382   0 137]  [249   0 270]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.534459151073,0.466708941027,23.7219188213,0.719038963318,9389,[[1837    1  353]  [1301    2  888]  [ 517    0 1674]],[[404   0 135]  [303   0 216]  [187   0 332]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.555301993002,0.456563094483,51.0564110279,1.59088611603,21568,[[1947    1  243]  [1368    4  819]  [ 492    0 1699]],[[402   0 137]  [325   0 194]  [201   0 318]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.58983721284,0.459099556119,149.705831051,4.90566110611,49543,[[2061    1  129]  [1425    8  758]  [ 383    0 1808]],[[431   1 107]  [340   1 178]  [227   0 292]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.367412140575,0.355104629042,0.721395015717,0.0842950344086,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.401947360414,0.400760938491,0.791234970093,0.0862650871277,4,[[2012    0  179]  [1861    0  330]  [1561    0  630]],[[483   0  56]  [442   0  77]  [370   0 149]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.403468735737,0.402029169309,0.852227926254,0.0928499698639,11,[[1991    0  200]  [1832    0  359]  [1530    0  661]],[[475   0  64]  [440   0  79]  [360   0 159]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.401186672752,0.402029169309,0.954819917679,0.0967800617218,27,[[2008    0  183]  [1860    0  331]  [1562    0  629]],[[485   0  54]  [442   0  77]  [370   0 149]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.402403773011,0.398858592264,1.12322378159,0.101953029633,63,[[1994    0  197]  [1845    0  346]  [1540    0  651]],[[475   0  64]  [444   0  75]  [365   0 154]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.450174958162,0.437539632213,1.42116594315,0.114314079285,146,[[1688    0  503]  [1416    0  775]  [ 920    0 1271]],[[399   0 140]  [332   0 187]  [228   0 291]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.453065571276,0.440076093849,2.46330618858,0.136990070343,336,[[1783    6  402]  [1525   13  653]  [1006    3 1182]],[[431   1 107]  [356   1 162]  [254   3 262]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.460520310361,0.452758402029,4.23756098747,0.192608118057,774,[[1824    3  364]  [1534    6  651]  [ 990    4 1197]],[[446   0  93]  [349   2 168]  [252   1 266]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.470561387494,0.462904248573,10.2970638275,0.303270101547,1779,[[1910    1  280]  [1611    0  580]  [1008    0 1183]],[[460   0  79]  [377   0 142]  [249   0 270]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.484862315533,0.457831325301,20.336163044,0.599301099777,4087,[[1970    1  220]  [1626    0  565]  [ 974    0 1217]],[[461   0  78]  [391   0 128]  [258   0 261]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.533546325879,0.469245402663,41.7797849178,1.19617795944,9389,[[1820    1  370]  [1274    1  916]  [ 505    0 1686]],[[402   0 137]  [300   0 219]  [181   0 338]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.55454130534,0.45846544071,92.6363117695,2.75204896927,21568,[[1977    1  213]  [1425    4  762]  [ 527    0 1664]],[[411   0 128]  [333   0 186]  [207   0 312]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.582686748821,0.455928979074,306.084632874,8.17079901695,49543,[[2090    1  100]  [1541    9  641]  [ 460    0 1731]],[[447   1  91]  [374   1 144]  [248   0 271]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.367412140575,0.355104629042,1.18182396889,0.164953947067,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.401795222881,0.400760938491,1.31805300713,0.181440830231,4,[[2012    0  179]  [1861    0  330]  [1562    0  629]],[[483   0  56]  [442   0  77]  [370   0 149]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.403620873269,0.4013950539,1.51960396767,0.169337034225,11,[[1989    0  202]  [1831    0  360]  [1527    0  664]],[[473   0  66]  [440   0  79]  [359   0 160]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.41609615092,0.40773620799,1.58620905876,0.180598020554,27,[[1640    0  551]  [1286    0  905]  [1096    0 1095]],[[373   0 166]  [302   0 217]  [249   0 270]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.418834626502,0.403297400127,1.87151813507,0.189022064209,63,[[1790    0  401]  [1523    0  668]  [1228    0  963]],[[403   0 136]  [361   0 158]  [286   0 233]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.457629697246,0.443246670894,2.81095504761,0.212281942368,146,[[1623   46  522]  [1315   74  802]  [ 841   39 1311]],[[381  16 142]  [311  19 189]  [211   9 299]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.453674121406,0.444514901712,4.49880504608,0.257416963577,336,[[1762    3  426]  [1517    5  669]  [ 974    2 1215]],[[423   0 116]  [352   1 166]  [242   0 277]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.460216035296,0.454026632847,9.38287997246,0.369236946106,774,[[1813    5  373]  [1527   14  650]  [ 981   12 1198]],[[440   4  95]  [344   5 170]  [245   3 271]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.466453674121,0.455294863665,18.2267010212,0.602184057236,1779,[[1918    2  271]  [1629    0  562]  [1043    0 1148]],[[458   0  81]  [380   0 139]  [259   0 260]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.479081089305,0.454026632847,34.8012161255,1.16228485107,4087,[[1996    1  194]  [1681    0  510]  [1038    0 1153]],[[470   0  69]  [400   0 119]  [273   0 246]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.515898372128,0.45212428662,75.890486002,2.29775500298,9389,[[2001    1  189]  [1585    0  606]  [ 801    0 1390]],[[452   0  87]  [377   0 142]  [258   0 261]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.553324205081,0.461001902346,228.926455975,5.37516689301,21568,[[1924    1  266]  [1345    2  844]  [ 480    0 1711]],[[402   0 137]  [319   0 200]  [194   0 325]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.367412140575,0.355104629042,0.0384700298309,0.000494956970215,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.367564278107,0.355104629042,0.0469210147858,0.00146102905273,4,[[ 249    0 1942]  [  77    0 2114]  [  24    0 2167]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.365282215122,0.351934051997,0.0655908584595,0.00509285926819,11,[[ 262    0 1929]  [ 102    0 2089]  [  52    0 2139]],[[ 48   0 491]  [ 23   0 496]  [ 12   0 507]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.367260003043,0.354470513633,0.101766109467,0.00631093978882,27,[[ 243    1 1947]  [  74    2 2115]  [  22    0 2169]],[[ 41   0 498]  [ 21   0 498]  [  1   0 518]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.375475429789,0.360811667724,0.195064067841,0.00577998161316,63,[[ 403    2 1786]  [ 223    7 1961]  [ 132    1 2058]],[[ 84   0 455]  [ 63   1 455]  [ 34   1 484]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.403468735737,0.410272669626,0.366654157639,0.00975394248962,146,[[2059    0  132]  [1969    1  221]  [1599    0  592]],[[507   0  32]  [464   0  55]  [379   0 140]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.464475886201,0.450856055802,0.808256864548,0.0105078220367,336,[[1605    0  586]  [1212    1  978]  [ 744    0 1447]],[[377   0 162]  [276   0 243]  [185   0 334]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.479689639434,0.461001902346,1.70435404778,0.0227551460266,774,[[1722    0  469]  [1298    2  891]  [ 762    0 1429]],[[400   1 138]  [289   0 230]  [192   0 327]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.485166590598,0.424223208624,3.88454389572,0.0488750934601,1779,[[1996    0  195]  [1708    8  475]  [1006    0 1185]],[[458   2  79]  [409   2 108]  [309   1 209]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.537349764187,0.442612555485,8.33067989349,0.110141038895,4087,[[2071    0  120]  [1663   26  502]  [ 755    1 1435]],[[450   3  86]  [360   7 152]  [278   0 241]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.636543435265,0.437539632213,16.7845380306,0.237953901291,9389,[[2087    0  104]  [1338  100  753]  [ 193    1 1997]],[[381   5 153]  [292  10 217]  [216   4 299]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.684466757949,0.450221940393,36.9257040024,0.553096055984,21568,[[2139    0   52]  [ 939  179 1073]  [  10    0 2181]],[[317  17 205]  [203  22 294]  [142   6 371]]
"RandomForestClassifier(bootstrap=True; compute_importances=None; criterion='gini'; max_depth=None; max_features='auto'; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; n_estimators=10; n_jobs=1; oob_score=False; random_state=None; verbose=0)",0.367412140575,0.355104629042,0.0216701030731,0.0060977935791,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]]
