"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.530982540226,0.486992240986,0.188001871109,0.0937418937683,1,[[ 341 4041]  [  69 4312]],[[  77 1054]  [  70  990]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.56316330024,0.492925604747,0.22974896431,0.120556116104,4,[[3916  466]  [3362 1019]],[[846 285]  [826 234]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.565217391304,0.497946143314,0.283549070358,0.112919092178,11,[[3881  501]  [3309 1072]],[[834 297]  [803 257]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.578911331736,0.501141031492,0.538156986237,0.147810935974,27,[[3030 1352]  [2338 2043]],[[534 597]  [496 564]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.583475978546,0.502053856686,0.889332056046,0.225109815598,63,[[2719 1663]  [1987 2394]],[[526 605]  [486 574]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.619308456008,0.479233226837,2.71035599709,0.467903137207,146,[[2897 1485]  [1851 2530]],[[471 660]  [481 579]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.63745292708,0.47877681424,4.95387506485,0.839452981949,336,[[2742 1640]  [1537 2844]],[[429 702]  [440 620]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.64213169006,0.467366499315,10.7111058235,1.55749511719,774,[[2878 1504]  [1632 2749]],[[469 662]  [505 555]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.652630377725,0.479689639434,31.2464258671,5.99393510818,1779,[[2871 1511]  [1533 2848]],[[493 638]  [502 558]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.655597398151,0.485623003195,123.731300831,17.5935161114,4087,[[2888 1494]  [1524 2857]],[[488 643]  [484 576]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.656053862832,0.488361478777,514.27451992,324.6591959,9389,[[2882 1500]  [1514 2867]],[[484 647]  [474 586]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.530982540226,0.486992240986,0.00194597244263,0.000525951385498,1,[[ 341 4041]  [  69 4312]],[[  77 1054]  [  70  990]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.56316330024,0.492925604747,0.00305008888245,0.000805139541626,4,[[3917  465]  [3363 1018]],[[847 284]  [827 233]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.565673855985,0.498858968508,0.00685882568359,0.00148701667786,11,[[3888  494]  [3312 1069]],[[837 294]  [804 256]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.580508958119,0.506161570059,0.0476770401001,0.00508713722229,27,[[3058 1324]  [2352 2029]],[[553 578]  [504 556]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.602875727491,0.50753080785,0.0692131519318,0.00470495223999,63,[[2819 1563]  [1917 2464]],[[601 530]  [549 511]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.783407508844,0.490187129165,0.315237045288,0.018049955368,146,[[3701  681]  [1217 3164]],[[602 529]  [588 472]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.972726235308,0.493382017344,0.936576128006,0.01913189888,336,[[4352   30]  [ 209 4172]],[[583 548]  [562 498]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.993495378295,0.489274303971,2.49015283585,0.0482439994812,774,[[4377    5]  [  52 4329]],[[530 601]  [518 542]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999201186808,0.496576905523,12.1742539406,1.81385803223,1779,[[4382    0]  [   7 4374]],[[547 584]  [519 541]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.999315302978,0.518941122775,49.9461560249,5.70632505417,4087,[[4382    0]  [   6 4375]],[[564 567]  [487 573]]
"GaussianNB()",0.530982540226,0.486992240986,0.0011670589447,0.000931024551392,1,[[ 341 4041]  [  69 4312]],[[  77 1054]  [  70  990]]
"GaussianNB()",0.531096656396,0.487448653583,0.00237894058228,0.00327396392822,4,[[ 340 4042]  [  67 4314]],[[  76 1055]  [  68  992]]
