"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.362775305261,0.346873573711,0.007000207901,0.000999927520752,1,[[ 294    0 2627]  [  80    0 2841]  [  36    0 2885]],[[ 57   0 684]  [ 27   0 716]  [  4   0 703]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.390619650805,0.373345504336,0.00899982452393,0.00100016593933,4,[[ 886    0 2035]  [ 514    0 2407]  [ 384    0 2537]],[[210   0 531]  [126   0 617]  [ 99   0 608]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.455779984024,0.433135554541,0.0239999294281,0.00200009346008,11,[[1508  779  634]  [ 932 1110  879]  [ 799  746 1376]],[[340 230 171]  [257 276 210]  [184 190 333]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.596599338126,0.403925148334,0.0700001716614,0.00399994850159,27,[[1912  777  232]  [ 707 1910  304]  [ 618  897 1406]],[[335 285 121]  [269 331 143]  [176 312 219]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.823234052265,0.385212231858,0.318000078201,0.00699996948242,63,[[2621  246   54]  [ 459 2384   78]  [ 370  342 2209]],[[331 259 151]  [301 267 175]  [208 253 246]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.900148351021,0.404837973528,0.574000120163,0.010999917984,146,[[2746  144   31]  [ 266 2617   38]  [ 199  197 2525]],[[330 250 161]  [264 289 190]  [188 251 268]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.963026360835,0.407120036513,2.19499993324,0.0280001163483,336,[[2873   40    8]  [ 125 2782   14]  [  86   51 2784]],[[325 232 184]  [262 281 200]  [175 246 286]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.988930731485,0.392058420812,4.63499999046,0.050999879837,774,[[2915    6    0]  [  53 2867    1]  [  25   12 2884]],[[309 235 197]  [249 259 235]  [209 207 291]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.995891817871,0.402099497946,8.30500006676,0.0979998111725,1779,[[2920    1    0]  [  23 2898    0]  [   9    3 2909]],[[309 244 188]  [256 257 230]  [173 219 315]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.997831792765,0.385212231858,23.3569998741,0.275000095367,4087,[[2919    1    1]  [   9 2911    1]  [   5    2 2914]],[[266 281 194]  [247 259 237]  [175 213 319]]
