'Classifier','train_accuracy','test_accuracy','fit_time','score_time','features','settings'
'sklearn.linear_model.logistic.LogisticRegression',0.572520826201,0.554084892743,0.0141341686249,0.00365900993347,1,''
'sklearn.linear_model.logistic.LogisticRegression',0.583361862376,0.545869465997,0.0181760787964,0.00369691848755,4,''
'sklearn.linear_model.logistic.LogisticRegression',0.583590094716,0.5454130534,0.0272529125214,0.00395011901855,11,''
'sklearn.linear_model.logistic.LogisticRegression',0.584503024079,0.544043815609,0.0541429519653,0.00473403930664,27,''
'sklearn.linear_model.logistic.LogisticRegression',0.58530183727,0.557736193519,0.136830091476,0.00412607192993,63,''
'sklearn.linear_model.logistic.LogisticRegression',0.599908707064,0.515746234596,0.285295963287,0.00936508178711,146,''
'sklearn.linear_model.logistic.LogisticRegression',0.615428506219,0.486079415792,0.67379784584,0.0170979499817,336,''
'sklearn.linear_model.logistic.LogisticRegression',0.640305831336,0.477863989046,1.10517787933,0.0373680591583,774,''
'sklearn.linear_model.logistic.LogisticRegression',0.702385027958,0.479689639434,2.02859687805,0.0688319206238,1779,''
'sklearn.linear_model.logistic.LogisticRegression',0.797786146297,0.48790506618,3.16241598129,0.164219141006,4087,''
'sklearn.linear_model.logistic.LogisticRegression',0.914526988474,0.502053856686,4.31913495064,0.344605207443,9389,''
'sklearn.linear_model.logistic.LogisticRegression',0.978546159991,0.508900045641,7.66480302811,2.4638569355,21568,''
'sklearn.linear_model.logistic.LogisticRegression',0.996005934041,0.497489730717,16.1351280212,8.62144494057,49543,''
'sklearn.linear_model.logistic.LogisticRegression',0.998516489787,0.499315381105,34.7876141071,29.6430559158,113800,''
'sklearn.linear_model.logistic.LogisticRegression',0.998858838297,0.49246919215,80.3935639858,85.3998019695,261395,''
'sklearn.linear_model.perceptron.Perceptron',0.572520826201,0.554084892743,0.0211458206177,0.00134801864624,1,''
'sklearn.linear_model.perceptron.Perceptron',0.583818327057,0.543130990415,0.0216770172119,0.00158500671387,4,''
'sklearn.linear_model.perceptron.Perceptron',0.581764235992,0.552715654952,0.0298500061035,0.0030300617218,11,''
'sklearn.linear_model.perceptron.Perceptron',0.577199589182,0.547695116385,0.0451459884644,0.00440692901611,27,''
'sklearn.linear_model.perceptron.Perceptron',0.568412644072,0.564125969877,0.0916240215302,0.0047779083252,63,''
'sklearn.linear_model.perceptron.Perceptron',0.503594659363,0.488361478777,0.17093706131,0.00821995735168,146,''
'sklearn.linear_model.perceptron.Perceptron',0.516718018943,0.442720219078,0.367298126221,0.0159721374512,336,''
'sklearn.linear_model.perceptron.Perceptron',0.606070980258,0.505705157462,0.808557033539,0.0335628986359,774,''
'sklearn.linear_model.perceptron.Perceptron',0.550268173,0.364673664993,1.74993300438,0.0737280845642,1779,''
'sklearn.linear_model.perceptron.Perceptron',0.700216820723,0.471017800091,3.97095894814,0.146120071411,4087,''
'sklearn.naive_bayes.BernoulliNB',0.572520826201,0.554084892743,0.00220108032227,0.00138306617737,1,''
'sklearn.naive_bayes.BernoulliNB',0.584046559397,0.542674577818,0.00271415710449,0.00195097923279,4,''
'sklearn.naive_bayes.BernoulliNB',0.554148122789,0.471017800091,0.00306606292725,0.00280022621155,11,''
'sklearn.naive_bayes.BernoulliNB',0.355015405683,0.32268370607,0.00641798973083,0.00516796112061,27,''
'sklearn.naive_bayes.BernoulliNB',0.36699760356,0.319945230488,0.00937080383301,0.0157890319824,63,''
'sklearn.naive_bayes.BernoulliNB',0.420403971243,0.330442720219,0.022255897522,0.0252771377563,146,''
'sklearn.naive_bayes.BernoulliNB',0.44961771083,0.331355545413,0.0486159324646,0.0564460754395,336,''
'sklearn.naive_bayes.BernoulliNB',0.4846513751,0.343222272935,0.0952389240265,0.111886024475,774,''
'sklearn.naive_bayes.BernoulliNB',0.500285290426,0.346417161114,0.200093984604,0.231406927109,1779,''
'sklearn.naive_bayes.BernoulliNB',0.539541252996,0.361022364217,0.440279960632,0.57892203331,4087,''
'sklearn.naive_bayes.BernoulliNB',0.600707520256,0.386581469649,0.982578992844,1.29903721809,9389,''
'sklearn.naive_bayes.GaussianNB',0.572520826201,0.554084892743,0.00090503692627,0.00174188613892,1,''
'sklearn.naive_bayes.GaussianNB',0.554148122789,0.468735737106,0.00194191932678,0.0038800239563,4,''
'sklearn.naive_bayes.GaussianNB',0.263608353304,0.212231857599,0.00265192985535,0.00562906265259,11,''
'sklearn.naive_bayes.GaussianNB',0.272737646925,0.226837060703,0.00414109230042,0.0129508972168,27,''
'sklearn.naive_bayes.GaussianNB',0.249686180532,0.220447284345,0.00821304321289,0.0291121006012,63,''
'sklearn.naive_bayes.GaussianNB',0.471984480201,0.343678685532,0.0197739601135,0.0682380199432,146,''
'sklearn.naive_bayes.GaussianNB',0.260983681388,0.220903696942,0.0434658527374,0.150495052338,336,''
'sklearn.naive_bayes.GaussianNB',0.280269314162,0.218621633957,0.0945451259613,0.336378097534,774,''
'sklearn.naive_bayes.GaussianNB',0.355928335045,0.225467822912,0.203395843506,0.756641864777,1779,''
'sklearn.naive_bayes.GaussianNB',0.466963368709,0.286627110908,0.539915800095,3.16685509682,4087,''
'sklearn.naive_bayes.GaussianNB',0.718589524136,0.3788224555,1.84590911865,8.65216803551,9389,''
'sklearn.naive_bayes.MultinomialNB',0.566016204496,0.576449109995,0.0064709186554,0.00132083892822,1,''
'sklearn.naive_bayes.MultinomialNB',0.582220700673,0.548607941579,0.00256991386414,0.00200915336609,4,''
'sklearn.naive_bayes.MultinomialNB',0.583932443227,0.543587403012,0.00250697135925,0.00179696083069,11,''
'sklearn.naive_bayes.MultinomialNB',0.566700901518,0.495207667732,0.00314283370972,0.00289082527161,27,''
'sklearn.naive_bayes.MultinomialNB',0.486134885313,0.395253308991,0.0046079158783,0.00509810447693,63,''
'sklearn.naive_bayes.MultinomialNB',0.494693598083,0.385212231858,0.00758099555969,0.00999808311462,146,''
'sklearn.naive_bayes.MultinomialNB',0.492525390848,0.367412140575,0.0129160881042,0.0196330547333,336,''
'sklearn.naive_bayes.MultinomialNB',0.485107839781,0.362848014605,0.0226290225983,0.0378680229187,774,''
'sklearn.naive_bayes.MultinomialNB',0.502567613831,0.365586490187,0.0497400760651,0.0812880992889,1779,''
'sklearn.naive_bayes.MultinomialNB',0.541138879379,0.378366042903,0.114289999008,0.156577110291,4087,''
'sklearn.naive_bayes.MultinomialNB',0.608695652174,0.397991784573,0.27349615097,0.341760158539,9389,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.248202670318,0.216339570972,0.000661134719849,0.00554394721985,1,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.554148122789,0.468735737106,0.00105905532837,0.00453495979309,4,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.251512039256,0.20903696942,0.00161218643188,0.00273609161377,11,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.350678991213,0.31218621634,0.00163984298706,0.00419902801514,27,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.308341892046,0.271565495208,0.00379705429077,0.0057590007782,63,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.340294419719,0.274760383387,0.0107188224792,0.0143201351166,146,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.369850507817,0.276586033775,0.0227308273315,0.0297570228577,336,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.376469245692,0.28480146052,0.0521669387817,0.0560438632965,774,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.38012096314,0.282519397535,0.107425928116,0.118921995163,1779,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.383202099738,0.28480146052,0.307877063751,0.259064912796,4087,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.3841150291,0.286170698311,0.623641014099,0.566740989685,9389,''
'sklearn.neighbors.nearest_centroid.NearestCentroid',0.386739701016,0.288452761296,1.93186116219,1.66461586952,21568,''
'sklearn.svm.classes.SVC auto',0.248202670318,0.216339570972,6.89494895935,1.77602696419,1,'class_weight=auto'
