"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.551118210863,0.529300567108,0.00108599662781,0.000262022018433,1,[[ 249 1942]  [  25 2166]],[[ 43 496]  [  2 517]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.602921040621,0.597353497164,0.00160098075867,0.000327825546265,4,[[2012  179]  [1561  630]],[[483  56]  [370 149]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.606344135098,0.599243856333,0.00265693664551,0.000437021255493,11,[[1996  195]  [1530  661]],[[475  64]  [360 159]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.626654495664,0.60775047259,0.00565195083618,0.000640153884888,27,[[1652  539]  [1097 1094]],[[375 164]  [251 268]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.652213601095,0.602079395085,0.0177209377289,0.00129389762878,63,[[1596  595]  [ 929 1262]],[[342 197]  [224 295]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.841168416248,0.61247637051,0.0701107978821,0.0030951499939,146,[[1968  223]  [ 473 1718]],[[338 201]  [209 310]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.984938384299,0.589792060491,0.258689880371,0.00585913658142,336,[[2186    5]  [  61 2130]],[[315 224]  [210 309]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.99703331812,0.613421550095,0.614235877991,0.0126540660858,774,[[2190    1]  [  12 2179]],[[334 205]  [204 315]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.279558897018,0.033175945282,1,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.278278827667,0.0301108360291,4,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.307540893555,0.0312058925629,11,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.313733816147,0.0283119678497,27,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.349484920502,0.0323700904846,63,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.440631866455,0.0383791923523,146,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,0.644681215286,0.0449209213257,336,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,1.41629815102,0.0570290088654,774,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=200; output_layer=None; verbose=0)",0.5,0.509451795841,3.12707901001,0.100686073303,1779,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.423197984695,0.0499219894409,1,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.459909915924,0.0499310493469,4,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.480212926865,0.0524189472198,11,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.526846885681,0.0556719303131,27,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.60432600975,0.0546448230743,63,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,0.82655620575,0.0641839504242,146,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,1.37811088562,0.0776600837708,336,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,2.80699086189,0.112975120544,774,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=400; output_layer=None; verbose=0)",0.5,0.509451795841,6.2982339859,0.18346619606,1779,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,0.731420040131,0.101452112198,1,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,0.751242160797,0.103312015533,4,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,0.793869018555,0.102262973785,11,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,0.871826887131,0.103137016296,27,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,1.05583286285,0.103322029114,63,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,1.60620999336,0.120705127716,146,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,2.90466189384,0.152951002121,336,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,5.66623210907,0.211491823196,774,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"MLPClassifier(batch_size=100; l2decay=0; loss='cross_entropy'; lr=0.1; n_hidden=800; output_layer=None; verbose=0)",0.5,0.509451795841,11.5645039082,0.371536970139,1779,[[2191    0]  [2191    0]],[[539   0]  [519   0]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.551118210863,0.529300567108,0.029000043869,0.000635862350464,1,[[ 249 1942]  [  25 2166]],[[ 43 496]  [  2 517]]
"Perceptron(alpha=0.0001; class_weight=None; eta0=1.0; fit_intercept=True; n_iter=60; n_jobs=1; penalty=None; random_state=0; shuffle=False; verbose=0; warm_start=False)",0.551346417161,0.529300567108,0.014181137085,0.000316143035889,4,[[ 249 1942]  [  24 2167]],[[ 43 496]  [  2 517]]
